E,DOS
-7.6261049999477315,260044631998.24756
-7.62199499994776,258831359998.2557
-7.617884999947789,257213663998.26663
-7.613774999947816,256809239998.26935
-7.609664999947845,254787119998.283
-7.605554999947873,253978271998.28842
-7.601444999947901,252764999998.2966
-7.597334999947929,251956151998.30206
-7.5932249999479575,250742879998.31024
-7.589114999947985,249125183998.32114
-7.585004999948014,248720759998.32385
-7.5808949999480415,247911911998.3293
-7.57678499994807,245889791998.34293
-7.572674999948098,245485367998.34567
-7.568564999948126,244676519998.3511
-7.564454999948154,243058823998.362
-7.560344999948183,242654399998.36475
-7.556234999948211,241845551998.37018
-7.552124999948239,239823431998.38382
-7.5480149999482675,239419007998.38654
-7.543904999948295,238610159998.392
-7.539794999948324,237801311998.39743
-7.5356849999483515,236588039998.4056
-7.53157499994838,236183615998.40836
-7.527464999948408,234565919998.41925
-7.523354999948436,234565919998.41925
-7.519244999948464,233352647998.42743
-7.515134999948493,231734951998.43832
-7.51102499994852,232139375998.4356
-7.506914999948549,230521679998.4465
-7.502804999948577,229712831998.45197
-7.498694999948605,229308407998.45468
-7.494584999948634,228095135998.46286
-7.4904749999486615,227286287998.4683
-7.486364999948689,227286287998.4683
-7.482254999948718,225264167998.48193
-7.478144999948746,225264167998.48193
-7.474034999948774,224050895998.4901
-7.469924999948803,224050895998.4901
-7.46581499994883,223242047998.49554
-7.461704999948859,222028775998.50372
-7.457594999948887,221219927998.5092
-7.453484999948915,220815503998.5119
-7.449374999948943,220006655998.51736
-7.4452649999489715,219197807998.52283
-7.441154999948999,218793383998.52554
-7.437044999949028,217580111998.53372
-7.432934999949056,217175687998.53644
-7.428824999949084,216771263998.53915
-7.424714999949112,215557991998.54733
-7.42060499994914,215153567998.55008
-7.416494999949169,214749143998.5528
-7.412384999949197,213535871998.56097
-7.408274999949225,213535871998.56097
-7.404164999949253,212727023998.5664
-7.4000549999492815,211513751998.5746
-7.395944999949309,211513751998.5746
-7.391834999949338,210704903998.58005
-7.3877249999493655,210704903998.58005
-7.383614999949394,209491631998.58823
-7.379504999949422,209087207998.59094
-7.37539499994945,208278359998.5964
-7.371284999949479,207469511998.60184
-7.367174999949507,207469511998.60184
-7.363064999949534,206256239998.61002
-7.358954999949563,206256239998.61002
-7.3548449999495915,205447391998.61548
-7.350734999949619,2275693847984.664
-7.346624999949648,2253046103984.8164
-7.3425149999496755,1530744839989.6843
-7.338404999949704,1265038271991.4749
-7.334294999949732,1114592543992.4888
-7.33018499994976,1013486543993.17
-7.326074999949788,938668103993.6743
-7.321964999949817,884475287994.0394
-7.317854999949844,837562103994.3556
-7.313744999949873,799950671994.6091
-7.309634999949901,768405599994.8217
-7.305524999949929,740904767995.007
-7.301414999949957,718257023995.1597
-7.2973049999499855,695204855995.315
-7.293194999950014,678219047995.4294
-7.289084999950042,661233239995.544
-7.28497499995007,645460703995.6501
-7.280864999950098,630901439995.7483
-7.276754999950127,618768719995.8301
-7.272644999950154,607040423995.9092
-7.268534999950183,595716551995.9855
-7.264424999950211,586010375996.0509
-7.260314999950239,576304199996.1162
-7.256204999950267,567002447996.179
-7.2520949999502955,558913967996.2334
-7.247984999950323,551634335996.2825
-7.243874999950352,543950279996.3343
-7.2397649999503795,537075071996.3806
-7.235654999950408,531008711996.4215
-7.231544999950437,523324655996.47327
-7.227434999950464,518067143996.5087
-7.223324999950492,512000783996.5496
-7.219214999950521,507147695996.5823
-7.215104999950549,501081335996.62317
-7.210994999950577,496632671996.65314
-7.2068849999506055,491375159996.6886
-7.202774999950633,488139767996.7104
-7.198664999950662,482073407996.7513
-7.1945549999506895,478433591996.7758
-7.190444999950718,474793775996.80035
-7.186334999950746,469940687996.83307
